SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  119.7100	    34.3600	     1.8587	  5105.7550	   697.9811	  5803.7361	   628.1000	   628.1000	   600.5900	   382.7400	     4.0690	    16.8000	   707.8000	 regenerative cooling, opposite flow	 
  123.0500	    32.5200	     2.0457	  5608.2909	   699.4289	  6307.7198	   633.4000	   633.4000	   603.5400	   380.7600	     4.0760	    17.6600	   710.0800	 regenerative cooling, opposite flow	 
  126.3900	    30.5900	     2.2751	  6222.1813	   693.2956	  6915.4769	   639.6400	   639.6400	   606.9400	   378.6700	     4.0840	    18.6300	   712.4900	 regenerative cooling, opposite flow	 
  129.7300	    28.6600	     2.5466	  6944.6912	   687.2600	  7631.9513	   647.0400	   647.0400	   611.0200	   376.4900	     4.0930	    19.6900	   715.0000	 regenerative cooling, opposite flow	 
  133.0700	    26.7300	     2.8709	  7801.6926	   683.4651	  8485.1577	   655.9300	   655.9300	   615.9200	   374.2200	     4.1040	    20.8500	   717.6300	 regenerative cooling, opposite flow	 
  136.4100	    24.8000	     3.2626	  8827.6182	   672.9788	  9500.5971	   666.7700	   666.7700	   622.0200	   371.8300	     4.1160	    22.1100	   720.2600	 regenerative cooling, opposite flow	 
  139.7500	    22.8700	     3.7420	 10069.4080	   654.0880	 10723.4960	   679.9800	   679.9800	   629.5200	   369.3200	     4.1310	    23.5000	   722.8900	 regenerative cooling, opposite flow	 
  143.0900	    20.9500	     4.3379	 11593.5453	   625.1148	 12218.6602	   695.5700	   695.5700	   638.1300	   366.6800	     4.1480	    25.0200	   725.6600	 regenerative cooling, opposite flow	 
  146.4300	    19.3400	     4.9521	 13139.2595	   579.2561	 13718.5157	   710.6500	   710.6500	   646.2200	   364.0000	     4.1670	    26.4000	   728.4600	 regenerative cooling, opposite flow	 
  149.7700	    18.2600	     5.4338	 14326.5316	   518.6766	 14845.2082	   721.6400	   721.6400	   651.9400	   361.3700	     4.1880	    27.3500	   731.2200	 regenerative cooling, opposite flow	 
  153.1100	    17.6600	     5.7269	 15022.4333	   458.3729	 15480.8062	   727.5900	   727.5900	   654.9300	   358.7500	     4.2090	    27.8700	   733.9700	 regenerative cooling, opposite flow	 
  156.1100	    17.4800	     5.7955	 15150.4231	   430.6394	 15581.0625	   728.4200	   728.4200	   655.2800	   356.4100	     4.2290	    27.9600	   736.3800	 regenerative cooling, opposite flow	 
  162.7900	    19.5500	     4.7176	 12321.9050	   211.3915	 12533.2966	   693.1600	   693.1600	   634.2700	   351.2800	     4.2700	    25.6600	   741.6100	 regenerative cooling, opposite flow	 
  169.4700	    21.9700	     3.8235	 10006.4771	   153.4518	 10159.9289	   667.8600	   667.8600	   620.0900	   346.3100	     4.3050	    23.3300	   746.3800	 regenerative cooling, opposite flow	 
  176.1500	    24.2700	     3.1973	  8381.3106	   128.9724	  8510.2830	   649.3300	   649.3300	   609.2900	   341.7000	     4.3350	    21.4000	   750.8100	 regenerative cooling, opposite flow	 
  182.8300	    26.4400	     2.7395	  7190.7443	   113.8495	  7304.5938	   634.9400	   634.9400	   600.5400	   337.3600	     4.3600	    19.7700	   754.9600	 regenerative cooling, opposite flow	 
  189.5200	    28.4900	     2.3937	  6289.5410	   102.6684	  6392.2094	   623.3700	   623.3700	   593.2300	   333.2300	     4.3800	    18.4000	   758.9100	 regenerative cooling, opposite flow	 
  196.2000	    30.4200	     2.1232	  5579.4534	    93.9422	  5673.3956	   615.7100	   615.7100	   588.9300	   329.2900	     4.3990	    17.2300	   762.4200	 regenerative cooling, opposite flow	 
  202.8800	    32.2300	     1.9092	  5017.4394	    86.8206	  5104.2599	   609.4200	   609.4200	   585.3100	   325.5100	     4.4140	    16.2300	   765.7700	 regenerative cooling, opposite flow	 
  209.5600	    33.9400	     1.7371	  4565.3242	    80.7880	  4646.1122	   604.0900	   604.0900	   582.1300	   321.8500	     4.4290	    15.3600	   769.0100	 regenerative cooling, opposite flow	 
  216.2400	    35.5400	     1.5966	  4196.1322	    76.1209	  4272.2531	   599.5600	   599.5600	   579.3600	   318.3000	     4.4410	    14.6000	   772.1500	 regenerative cooling, opposite flow	 
  222.9200	    37.0300	     1.4806	  3891.2468	    71.7189	  3962.9657	   595.6400	   595.6400	   576.8900	   314.8500	     4.4530	    13.9300	   775.2100	 regenerative cooling, opposite flow	 
  229.6000	    38.4200	     1.3830	  3633.1895	    67.8433	  3701.0328	   593.2400	   593.2400	   575.7100	   311.4700	     4.4630	    13.3500	   778.1200	 regenerative cooling, opposite flow	 
  236.2800	    39.7000	     1.3000	  3412.5025	    65.1715	  3477.6740	   592.3000	   592.3000	   575.8300	   308.1600	     4.4730	    12.8500	   780.8900	 regenerative cooling, opposite flow	 
  242.9600	    40.8900	     1.2299	  3226.2172	    62.5521	  3288.7693	   591.5100	   591.5100	   575.9300	   304.9200	     4.4820	    12.4000	   783.6000	 regenerative cooling, opposite flow	 
  249.6400	    41.9900	     1.1704	  3068.0901	    60.1305	  3128.2206	   590.8600	   590.8600	   576.0500	   301.7200	     4.4910	    12.0000	   786.2600	 regenerative cooling, opposite flow	 
  257.5300	    43.1600	     1.1113	  2911.0804	    57.8736	  2968.9541	   590.3000	   590.3000	   576.2500	   298.0000	     4.5000	    11.5900	   789.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
