x_m,heat_flux_W_m2,heat_flux_conv_W_m2,heat_flux_rad_W_m2,T_wg_K,T_wl_K,T_c_K,h_g_W_m2K,T_aw_K,P_c_Pa,u_c_ms,rho_c_kgm3
0.0,7506707.458069507,6418666.545634548,1088040.9124349586,765.4179746779216,730.8044227817376,492.98456192599565,2593.6288042725596,3240.200231514711,4084956.8039531014,72.20207254984473,71.2120252636303
0.0008351232107023412,7506707.458069507,6418666.545634548,1088040.9124349586,765.4179746779216,730.8044227817376,492.56527013138424,2593.6288042725596,3240.200231514711,4086082.185811441,72.20207254984473,71.2120252636303
0.0016702464214046824,7515202.644595696,6427118.470630497,1088084.1739651994,762.9756465746605,728.3229220211375,492.1517228083589,2594.483564269178,3240.200231514711,4087215.611633885,72.16086286825966,71.64258397206429
0.0025053696321070238,7523819.558734622,6435691.955197195,1088127.603537427,760.5000108852448,725.8075524426228,491.7440251724585,2595.3508015430625,3240.200231514711,4088357.1120364177,72.11607308673557,72.08042368577063
0.003340492842809365,7532562.665199599,6444391.45748248,1088171.2077171188,757.9898582781893,723.2570841267739,491.3422846505311,2596.2309750078607,3240.200231514711,4089506.7164445375,72.06762669381601,72.52573558683495
0.004175616053511706,7541436.669464345,6453221.676144985,1088214.9933193603,755.4439150058215,720.6702216277984,490.9466109417285,2597.1245684211935,3240.200231514711,4090664.4530287925,72.01544554159695,72.97871765215615
0.0050107392642140475,7550446.205642181,6462187.239819362,1088258.9658228194,752.8609327334162,718.0455897286123,490.55711609763597,2598.03205898994,3240.200231514711,4091830.3486380796,71.9594498284957,73.43957493660497
0.005845862474916389,7559753.217329313,6471449.332618164,1088303.884711149,750.1946179181341,715.3363669123518,490.1239063048353,2598.969776325431,3240.200231514711,4093004.42858326,71.8995490517458,73.90852915336069
0.00668098568561873,7503970.678428029,6415943.797752697,1088026.8806753317,766.2051385894318,731.6042080539888,490.06624082438555,2593.3534856637143,3240.200231514711,4093235.0788112357,10.51685679624685,508.0941187985659
0.007516108896321071,7501708.448780462,6413693.20180963,1088015.246970832,766.8559399684411,732.265441306242,489.68350317495816,2593.125924171259,3240.200231514711,4093468.4163567936,10.54035147870096,509.78979746467763
0.008351232107023413,7499603.239871003,6411598.847641119,1088004.3922298842,767.4616746929055,732.8808838714936,489.29701596388344,2592.9141720028438,3240.200231514711,4093704.4910203493,10.564639412333218,511.46320774824693
0.009186355317725754,7497646.752703982,6409652.473090965,1087994.2796130173,768.0247085030136,733.4529397562902,488.9068943318938,2592.717391393992,3240.200231514711,4093943.353310653,10.589703947112662,513.1151986282714
0.010021478528428095,7495831.295256828,6407846.420639196,1087984.8746176315,768.5472354919561,733.9838385214664,488.5132478584309,2592.5348060388505,3240.200231514711,4094185.0544753536,10.615529677207336,514.7465744134843
0.010856601739130436,7494149.72758479,6406173.58269084,1087976.1448939505,769.0312935174643,734.4756509468009,488.1161809112809,2592.3656955168385,3240.200231514711,4094429.64653126,10.642102354385063,516.3580976811431
