a1_mm,a_min_mm,a2_mm,H1_mm,H_min_mm,H2_mm,N,web_mm,max_Twg_K,max_Tc_K,Tc_out_K,delta_P_MPa
2.5,1.0,2.0,2.5,1.0,2.0,40,1.7648342868641156,984.7621440598966,491.9141334108359,491.9141334108359,0.33521475518276495
1.5,1.0,2.0,1.5,1.5,2.0,60,0.8432228579094102,989.6979297876102,494.5307500840278,494.5307500840278,0.16391794380940497
1.5,1.0,2.0,2.0,1.5,2.0,60,0.8432228579094102,989.745121382607,494.539270669783,494.539270669783,0.13311655439428613
1.5,1.0,2.0,2.5,1.5,2.0,60,0.8432228579094102,989.871440023362,494.3882981345491,494.3882981345491,0.11574443731029704
2.0,1.0,2.0,1.5,1.5,2.0,60,0.8432228579094102,990.4740081168228,494.23612857488797,494.23612857488797,0.1275179816289451
2.0,1.0,2.0,2.0,1.5,2.0,60,0.8432228579094102,990.7298917123485,493.9589850477456,493.9589850477456,0.10887134333869815
2.0,1.0,2.0,2.5,1.5,2.0,60,0.8432228579094102,990.9842827675718,493.7764120425256,493.7764120425256,0.09807024996235501
2.5,1.0,2.0,1.5,1.5,2.0,60,0.8432228579094102,991.7245643186222,493.67469663081874,493.67469663081874,0.10855252705089562
2.5,1.0,2.0,2.0,1.5,2.0,60,0.8432228579094102,992.1147783231465,493.3492916040182,493.3492916040182,0.0957915413264241
2.5,1.0,2.0,2.5,1.5,2.0,60,0.8432228579094102,992.5016062321606,493.0988476741009,493.0988476741009,0.08792863075801079
1.5,1.0,2.0,2.0,1.5,2.0,50,1.2118674294912926,999.6561630618891,493.8925029102717,493.8925029102717,0.18384924237876757
1.5,1.0,2.0,1.5,1.5,2.0,50,1.2118674294912926,999.6561630618891,494.09812806834566,494.09812806834566,0.22888536320746503
1.5,1.0,2.0,2.5,1.5,2.0,50,1.2118674294912926,999.7680877887583,493.8245833979574,493.8245833979574,0.1597489975402644
2.0,1.0,2.0,1.5,1.5,2.0,50,1.2118674294912926,1000.3485149090127,493.2079346118991,493.2079346118991,0.1750095550561333
